Model,Horizon,MAPE (%),MAE ($),Directional Acc (%),R²,Mean Error ($),RMSE ($),Timeframe,Return MAE,Train_Time
XGBoost,1d,1.382346897461446,1586.2065418556344,48.75,-0.0165481937584617,,,Daily,0.0137256268593579,0.1678531169891357
Random Forest,1d,1.6850707856684168,1940.9946875897945,51.24999999999999,-0.3336142273141604,,,Daily,0.0168863650724071,0.3451383113861084
Gradient Boosting,1d,2.1552719622903487,2491.0643111103573,51.24999999999999,-1.133825906287066,,,Daily,0.0216536079578577,0.3693480491638183
CatBoost,1d,1.3664395509575469,1568.4770650411458,51.24999999999999,-0.0144848765832246,,,Daily,0.0135747949606725,0.1445887088775634
LightGBM,1d,1.3791747347994414,1582.6794051449203,48.75,-0.0137066515733867,,,Daily,0.0136956215754214,0.0457940101623535
XGBoost,3d,2.5393749191828454,2904.8251352233574,48.75,-0.0516505217862084,,,Daily,0.0250450354707527,0.0358579158782959
Random Forest,3d,3.1147586412073123,3608.038314131517,51.24999999999999,-0.5731381606527313,,,Daily,0.0314567281525162,0.2885358333587646
Gradient Boosting,3d,3.127863913696736,3618.531553582716,52.5,-0.6050205064581997,,,Daily,0.031479110803072,0.285660982131958
CatBoost,3d,2.541276164865446,2907.7102895350968,48.75,-0.0328104346828883,,,Daily,0.0251071593365976,0.0502421855926513
LightGBM,3d,2.543820010646412,2911.5090417215456,48.75,-0.0446738833082087,,,Daily,0.0251161013089382,0.0147168636322021
XGBoost,7d,4.173367686481464,4784.30754898696,46.83544303797469,-0.0839764034521293,,,Daily,0.0410645616070771,0.0421309471130371
Random Forest,7d,4.9619761341919775,5808.813309190949,53.16455696202531,-0.7243543418424008,,,Daily,0.0509535369773804,0.2754337787628174
Gradient Boosting,7d,4.808570049098796,5622.645207870669,53.16455696202531,-0.6256818100766934,,,Daily,0.0492659150498184,0.2763640880584717
CatBoost,7d,4.157130077894763,4766.785816015157,46.83544303797469,-0.0772368108526027,,,Daily,0.040924633137288,0.0361659526824951
LightGBM,7d,4.14654898031892,4758.186080363962,46.83544303797469,-0.0720711806329239,,,Daily,0.0408744301094521,0.0144977569580078
