model,horizon,train_samples,test_samples,return_train_mae,return_test_mae,return_test_r2,directional_accuracy,price_mae,price_mape
xgboost,1d,1137,244,0.0215541546625407,0.015432678041861766,-2.2411184739112855e-06,50.81967213114754,1549.6893450869707,1.542874733036078
random_forest,1d,1137,244,0.01737960391085061,0.02017837139777999,-0.36964624243866684,49.18032786885246,2067.776412102417,2.0016252077612062
lightgbm,1d,1137,244,0.02151620417276238,0.01542870737602948,0.00014714884247657434,50.81967213114754,1548.9671520231268,1.5420841282798017
catboost,1d,1137,244,0.021532397975115115,0.015451141273682795,-0.0018219768027440963,50.409836065573764,1551.4616058811769,1.5444165359070778
xgboost,3d,1136,244,0.038401978778735586,0.02602674012185554,-5.614463174175022e-05,55.32786885245902,2644.328045069438,2.608823549849939
random_forest,3d,1136,244,0.02543908432612009,0.03688908175074846,-0.6184062945712816,47.13114754098361,3827.521075300585,3.6434401966990984
lightgbm,3d,1136,244,0.038128869505937156,0.0260650145384619,-0.001493683574608884,55.32786885245902,2646.4022267822907,2.611306394717647
catboost,3d,1136,244,0.03832274749167915,0.026085427235237334,-0.0017910594191650198,55.32786885245902,2649.716196214367,2.61332262272172
xgboost,7d,1133,243,0.05992079567501956,0.03909016512272861,-0.00044596870844348935,56.37860082304527,3992.8900329333806,3.9066138104680967
random_forest,7d,1133,243,0.031404585098625495,0.05717607794450843,-0.855453290244286,47.325102880658434,5973.341280249363,5.611132770760001
lightgbm,7d,1133,243,0.05962738045974124,0.039400555055279396,-0.014428156248941448,51.028806584362144,4027.5616282031856,3.933862403854966
catboost,7d,1133,243,0.05987446198088691,0.03904252448666073,-2.2998008627928e-05,56.37860082304527,3988.974524150132,3.901880385031997
