model,horizon,train_samples,test_samples,return_train_mae,return_test_mae,return_test_r2,directional_accuracy,price_mae,price_mape
xgboost,1d,1138,245,0.021672029900208018,0.015334572776410963,-2.5941910187121664e-05,51.42857142857142,1539.0022675175524,1.5329552928746932
random_forest,1d,1138,245,0.017469527447334352,0.020438500447446824,-0.39623416729726624,50.204081632653065,2100.022673672362,2.0274473841195064
lightgbm,1d,1138,245,0.021623510506724255,0.015308758819844238,0.002984209251152392,51.42857142857142,1536.4465408427275,1.5300141958575324
catboost,1d,1138,245,0.021653344633850425,0.01532642016068138,0.0003097622738695849,51.42857142857142,1537.9913119397743,1.5318873664480819
xgboost,3d,1137,244,0.038459945874837184,0.025887329830139208,-8.900925867139087e-05,55.32786885245902,2628.433526165569,2.5944799142210573
random_forest,3d,1137,244,0.02498187612143635,0.03742874602805167,-0.6677948429109872,46.31147540983606,3883.2436582253245,3.698240604873784
lightgbm,3d,1137,244,0.03821399355835739,0.025965627483961327,-0.00018408947338333093,55.32786885245902,2635.8424312713896,2.6004621586327157
catboost,3d,1137,244,0.038333892008985876,0.02594157529345443,0.0010279688759545769,55.32786885245902,2631.9186678845895,2.5976576351632943
xgboost,7d,1134,244,0.06002481787715087,0.03881187005031751,-0.0008484999459323905,56.557377049180324,3962.805232792008,3.878971195930949
random_forest,7d,1134,244,0.031192561699258693,0.05832951790799437,-0.927254095841803,46.31147540983606,6110.277328963228,5.73137459972565
lightgbm,7d,1134,244,0.0595257331605385,0.03906185578453319,-0.00970397856295424,51.229508196721305,3989.723618553524,3.8942179554902485
catboost,7d,1134,244,0.05980599372509008,0.03883853877357759,-0.0014240887689989101,56.557377049180324,3964.67227023635,3.8802862182694215
